name,price,sqft,high_rise,furnished,bath,bed,parking
"Regalia @ Jalan Sultan Ismail, Kuala Lumpur","RM 2,800",864 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Puncak Prima Condo, Sri Hartamas, Kuala Lumpur","RM 2,300",1095 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Apartment Unit for Rent,"RM 2,000",1800 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"putra majestik, jalan ipoh","RM 1,800",1080 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
THE MARC RESIDENCE KLCC SUITES,"RM 12,000",2902 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
"The Saffron, Kuala Lumpur","RM 2,300",1200 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
The Forum Kuala Lumpur,"RM 2,800",1206 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
The Vyne,"RM 2,100",1106 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
The Troika Luxury Apartment,"RM 8,997",1930 sqft,High-Rise,Fully furnished,3 bath,2 bed,2 parking
Menara Arina Uniti,"RM 2,250",760 sqft,High-Rise,Unfurnished,0 bath,0 bed,1 parking
"Regalia @ Jalan Sultan Ismail, Kuala Lumpur","RM 2,800",864 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Kuchai Avenue Serviced Apartments, Kuala Lumpur","RM 1,700",935 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Fraser Place,"RM 3,000",436 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Angkasa Impian 2, KL City Centre","RM 3,250",1301 sqft,High-Rise,Unfurnished,3 bath,4 bed,2 parking
Brunsfield Embassyview Condosuite,"RM 5,000",1632 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
RESIDENSI GOMBAK 126,"RM 1,300",750 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"38 Bidara, Bukit Ceylon","RM 2,400",914 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
Sentul Jaya,RM 500,1900 sqft,Landed,Unfurnished,2 bath,6 bed,0 parking
Blok C4 Seksyen 10 Wangsa Maju Kuala Lumpur,RM 850,500 sqft,High-Rise,Unfurnished,2 bath,2 bed,1 parking
court 28 @ kl city,"RM 2,200",703 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
Danau Murni Condominium - Medium room for rent,RM 450,750 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
Villa Angsana Condominium JALAN IPOH KUALA LUMPUR,"RM 1,500",1412 sqft,Landed,Partially furnished,2 bath,3 bed,2 parking
"bustan shamelin apartment, shamelin","RM 1,600",900 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"myHabitat, KLCC","RM 3,000",600 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Urbane Tower, solaris dutamas designer suites, dutamas","RM 2,300",672 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Kenanga Point,RM 600,150 sqft,High-Rise,Partially furnished,2 bath,1 bed,0 parking
"Puncak Prima Condo, Sri Hartamas","RM 2,400",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
villa orkid condominium,"RM 2,300",1643 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Court 28 @ KL City, Sentul Jalan Ipoh","RM 2,500",859 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Zeta deSkye Residence,"RM 2,000",1037 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
regalia sultan ismail,"RM 2,400",755 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Flat PKNS, Kuala Lumpur",RM 300,100 sqft,High-Rise,Fully furnished,1 bath,3 bed,1 parking
"The Crest, Kuala Lumpur","RM 2,200",616 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Royal Regent, Kuala Lumpur","RM 2,050",870 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Heritage, Setapak","RM 1,900",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
"central residence, sungai besi","RM 2,200",880 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"pelangi indah condo, jalan ipoh","RM 1,200",870 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"KL Gateway, Bangsar South","RM 2,800",879 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
chymes condo at gurney kl,"RM 4,000",1372 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Summer Suites, KLCC","RM 3,400",495 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Gallery U-Thant, Ampang Hilir","RM 9,000",4074 sqft,High-Rise,Partially furnished,4 bath,3 bed,2 parking
Kuala lumpur condo untuk sewa,"RM 1,388",956 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"APARTMENT SRI MALAYSIA, Kuala Lumpur",RM 980,650 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
"Sophia Mont Kiara, Kuala Lumpur","RM 3,000",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
