name,price,sqft,high_rise,furnished,bath,bed,parking
"Regalia @ Jalan Sultan Ismail, Kuala Lumpur","RM 2,800",864 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Puncak Prima Condo, Sri Hartamas, Kuala Lumpur","RM 2,300",1095 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
The Forum Kuala Lumpur,"RM 2,800",1206 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Regalia @ Jalan Sultan Ismail, Kuala Lumpur","RM 2,800",864 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Blok C4 Seksyen 10 Wangsa Maju Kuala Lumpur,RM 850,500 sqft,High-Rise,Unfurnished,2 bath,2 bed,1 parking
"Sentul Utama Condominium, Sentul","RM 1,500",877 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
RESIDENSI GOMBAK 126,"RM 1,300",750 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Sentul Jaya,RM 500,1900 sqft,Landed,Unfurnished,2 bath,6 bed,0 parking
"Court 28 @ KL City, Sentul Jalan Ipoh","RM 2,500",859 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 3,000",785 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"KL Gateway, Bangsar South","RM 2,800",879 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
Danau Murni Condominium - Medium room for rent,RM 450,750 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"Summer Suites, KLCC","RM 3,400",495 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Puncak Prima Condo, Sri Hartamas","RM 2,400",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Sri Lojing, Wangsa Maju","RM 1,500",900 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
Kenanga Point,RM 500,1050 sqft,High-Rise,Partially furnished,2 bath,1 bed,0 parking
"Heritage, Setapak","RM 1,900",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
villa orkid condominium,"RM 2,300",1643 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Seri Riana Residence, Wangsa Maju",RM 800,1382 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Sri Ampang Hilir Kondominium,"RM 2,300",1267 sqft,High-Rise,Fully furnished,2 bath,4 bed,2 parking
"Gallery U-Thant, Ampang Hilir","RM 9,000",4074 sqft,High-Rise,Partially furnished,4 bath,3 bed,2 parking
"central residence, sungai besi","RM 2,200",880 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
BOULEVARD SERVICE APARTMENT (room),RM 750,1100 sqft,High-Rise,Fully furnished,2 bath,4 bed,2 parking
Citizen @ Old Klang Road ,"RM 2,800",1094 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
chymes condo at gurney kl,"RM 4,000",1372 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"The Robertson, Pudu","RM 3,480",689 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
"Vogue Suites One @ KL Eco City, Mid Valley City","RM 3,500",797 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
Seasons Garden Residences,"RM 2,000",850 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
288 residence,"RM 2,600",1404 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"City Gardens, Bukit Ceylon","RM 3,500",1625 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Anggun Residences, Dang Wangi","RM 3,000",657 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
"City Gardens, Bukit Ceylon","RM 3,500",1200 sqft,High-Rise,Fully furnished,2 bath,4 bed,1 parking
"6 Ceylon, Bukit Ceylon","RM 4,000",1200 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Residency V, Old klang road, KL","RM 2,500",814 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"Icon Residence (Mont Kiara), Dutamas","RM 4,300",1340 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Panorama Residences, Sentul","RM 1,700",1100 sqft,High-Rise,Partially furnished,1 bath,3 bed,1 parking
"Court 28 @ KL City, Sentul","RM 1,700",859 sqft,High-Rise,Unfurnished,3 bath,3 bed,2 parking
"Latitud 3, Petaling Jaya","RM 2,000",653 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
Scott Villa condominium,"RM 3,000",1224 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Bangsar Indah, Bangsar","RM 1,600",700 sqft,High-Rise,Unfurnished,1 bath,1 bed,1 parking
"Indah Cempaka, Pandan Indah","RM 1,200",675 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
"Sri Putramas 1, Jalan Kuching","RM 1,500",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
icon residence,"RM 4,588",1775 sqft,High-Rise,Fully furnished,4 bath,2 bed,1 parking
Amadesa Resort Condo,"RM 1,450",1100 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
